"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"RRAD" -7.52419996260519 4.48054560159717 -4.223494187867 0.00549154671285228 0.0655940707655654 -4.58619805710003
"IFIT3" 5.46413649095494 8.88177016168103 4.22125230915559 0.00550521517768998 0.0655940707655654 -4.58620101717336
"IL12B" 5.32239673470703 -0.0925328879883925 4.21704876810802 0.00553094660122664 0.0655940707655654 -4.58620657576565
"IGSF6" 5.52026635945695 5.77921131778998 4.20846415598488 0.00558391613453626 0.0655940707655654 -4.58621796195872
"AKR1B10" 8.3750488117123 0.27282910307056 4.20079039364367 0.00563174718808312 0.0655940707655654 -4.58622817911117
"RNASE3" 6.82929963446955 -0.500045485550815 4.19691996077453 0.00565604594793612 0.0655940707655654 -4.58623334639899
"KCNH7" 6.13711968396963 2.70870732900431 4.18941616753679 0.00570349057962769 0.0655940707655654 -4.58624339137513
"MS4A3" 5.36547505658189 0.29748907003214 4.17302729980107 0.00580867199869069 0.0655940707655654 -4.58626545443839
"CRISP3" 6.32257686893707 0.795023901309245 4.16592474108546 0.0058549287893682 0.0655940707655654 -4.58627506921074
"SP140" 5.46095896082704 5.2666680735234 4.13941213041755 0.00603127830465549 0.0655940707655654 -4.58631124586349
"SCARNA1" 6.03681838410897 -0.896286110731105 4.13313307132996 0.0060739097297282 0.0655940707655654 -4.58631988031384
"CEACAM3" 5.8766345936591 3.49926435152745 4.12050251067357 0.00616069006519428 0.0655940707655654 -4.58633732673382
"SNORA28" 6.30838954662223 -0.392017732391367 4.11763509623185 0.00618058384983628 0.0655940707655654 -4.58634130200396
"KRT81" 6.26503688553343 1.08026952091395 4.08147902543771 0.00643769699909306 0.0655940707655654 -4.58639189349662
"CCL7" 6.29365994934522 3.51389171261559 4.07913995537663 0.00645473818090404 0.0655940707655654 -4.58639519641096
"AQP9" 5.53287501024077 8.56760786338726 4.07105739923859 0.00651401275502908 0.0655940707655654 -4.58640663774766
"MX2" 5.42620491825749 7.5968882308122 4.06390237127198 0.00656699340582816 0.0655940707655654 -4.58641680280029
"SNORA49" 6.09759937404943 -0.600638257411485 4.04930284351769 0.00667659920304127 0.0655940707655654 -4.58643765158394
"LY96" 5.46500819021699 6.29062469335364 4.0127057276048 0.00696044901378 0.0655940707655654 -4.58649055412402
"ITPKC" -5.36498664862503 5.72286703949446 -3.997337811286 0.00708364219292467 0.0655940707655654 -4.58651304507175
"GPX2" 5.72508458245602 3.26957468118363 3.99195137183034 0.0071273960086359 0.0655940707655654 -4.58652096715143
"ZPLD1" 6.11487798506761 -0.48877351316868 3.98716522858353 0.00716652692282174 0.0655940707655654 -4.58652802341931
"RASSF1" -5.7683830959682 4.39511841863926 -3.97743041268418 0.00724685975886252 0.0655940707655654 -4.58654242530793
"CYTH1" -5.04535403559701 4.97083844741173 -3.96899692183639 0.00731726699611527 0.0655940707655654 -4.58655495611025
"BCL2L14" 5.26806781060153 2.83133943961423 3.96483168631536 0.00735232195373166 0.0655940707655654 -4.58656116358305
"CXorf21" 5.17620361022145 3.23446099435375 3.95886226027123 0.00740288831237152 0.0655940707655654 -4.58657008137038
"OAS2" 5.36955730905045 8.59918880250452 3.93949504975447 0.00756963636483944 0.0655940707655654 -4.58659918967899
"UBAC2-AS1" 5.89206507551147 -0.823909456432357 3.92785187283284 0.00767189599845491 0.0655940707655654 -4.5866168189123
"HBD" 4.979079775399 0.425064443984458 3.92178837640092 0.00772575975303504 0.0655940707655654 -4.58662603868186
"DISC2" 5.84962062671822 -1.41388344270395 3.91629343275868 0.00777493725347676 0.0655940707655654 -4.58663441703363
"C9orf170" 5.84962062671822 -1.41388344270395 3.91629343275868 0.00777493725347676 0.0655940707655654 -4.58663441703363
"C12orf57" -5.03900837736033 4.9676656182934 -3.91119381466307 0.00782088911710733 0.0655940707655654 -4.58664221231309
"IL27" 5.45898523034115 0.930274529804922 3.90421887106707 0.00788423017023483 0.0655940707655654 -4.58665290501019
"SMTN" -6.65223431718117 4.04456277888517 -3.90355757916015 0.00789026512389737 0.0655940707655654 -4.58665392063138
"NDST1" -5.60565274345033 4.31375324238032 -3.89388435814362 0.00797913394704633 0.0655940707655654 -4.58666881363672
"PPP2R2C" 5.00162372016327 0.171079058017202 3.89165494860048 0.00799977353758562 0.0655940707655654 -4.58667225583514
"C6orf106" -4.9383049128389 4.91731388603268 -3.88661692799666 0.00804663433374636 0.0655940707655654 -4.58668004804019
"GTSF1" 5.15011458904184 0.85652070312471 3.86848906882366 0.00821779640432477 0.0655940707655654 -4.58670824181842
"OR52N2" 5.79410497052385 -1.01764281752366 3.86565785371639 0.00824489286201754 0.0655940707655654 -4.58671266724193
"SAMD9" 5.25783843632587 6.62160832026174 3.8641034666862 0.00825981158938626 0.0655940707655654 -4.58671509942717
"RHOH" 5.33321529173242 6.10065859706381 3.86247479324746 0.00827547555914169 0.0655940707655654 -4.58671764979101
"SAMD9L" 5.29744863164131 7.68822239129969 3.85530451216581 0.00834483107953074 0.0655940707655654 -4.586728901503
"EFCAB10" 4.87585433666529 0.476677163351315 3.85068393517197 0.00838986700512005 0.0655940707655654 -4.58673617266105
"CYP4F3" 5.42562217344074 0.896314390336537 3.83083103128923 0.00858647228045298 0.0655940707655654 -4.58676759774901
"C8A" 4.8866209174401 0.471293872963908 3.83052524755096 0.00858954031004825 0.0655940707655654 -4.5867680841123
"HAMP" 5.29129216099292 2.66647557639837 3.81628326544895 0.00873379513680625 0.0655940707655654 -4.58679081573421
"TNFSF13B" 5.59904391108148 5.41832904770413 3.79586888913737 0.00894529136477221 0.0655940707655654 -4.58682367075648
"SLC26A8" 5.56693639318584 2.14179138821375 3.78771981146366 0.00903130232107372 0.0655940707655654 -4.58683687594702
"PHLDB1" -6.53857886564861 3.98773505311889 -3.77926079919656 0.00912155810833052 0.0655940707655654 -4.58685063803826
"DDX60L" 4.79190479868924 7.07533310496386 3.77621599562825 0.00915429047859046 0.0655940707655654 -4.58685560534825
"BTNL3" 6.48336078215071 -0.673014911710233 3.77088728170408 0.00921189000973615 0.0655940707655654 -4.58686431611111
"NES" -5.03833694176641 4.64129155220658 -3.76587617404708 0.00926642405537531 0.0655940707655654 -4.58687252801818
"TARP" 6.16142139070283 3.66554561233402 3.74920699208377 0.00945042558825491 0.0655940707655654 -4.58689998692499
"ERRFI1" -5.41747748878164 5.74911245957276 -3.74828240135873 0.0094607497626553 0.0655940707655654 -4.58690151642563
"SPHK1" -5.32049821669341 4.53965877608497 -3.74483544157902 0.00949934977557837 0.0655940707655654 -4.5869072245277
"FOSB" -5.78472942458959 6.86470765268872 -3.7411193834056 0.00954115923312753 0.0655940707655654 -4.58691338883323
"TCN1" 5.70486731812073 1.03593696267653 3.73427299059273 0.00961872419779866 0.0655940707655654 -4.58692477464279
"RARRES2" -5.04209885173163 5.08971490523094 -3.72084919515606 0.00977284668748475 0.0655940707655654 -4.586947207771
"WAS" 4.95779737914577 5.38753898947819 3.71289816802433 0.00986542605804697 0.0655940707655654 -4.58696056340519
"MAFF" -4.84931366894536 5.74782913758173 -3.70141744849514 0.010000825773252 0.0655940707655654 -4.58697993813986
"MND1" 4.83432646680151 0.497441098283205 3.70082622407998 0.0100078540790601 0.0655940707655654 -4.5869809387771
"RALGDS" -4.94897505875146 4.77789565039147 -3.699605955616 0.0100223776102365 0.0655940707655654 -4.58698300495877
"SLC25A25" -5.07761814356763 5.21069998988266 -3.69706223421904 0.0100527279861471 0.0655940707655654 -4.58698731592885
"PLXNA2" -6.29804514063719 3.86746819061317 -3.69501341975283 0.0100772475134568 0.0655940707655654 -4.58699079198504
"JUN" -4.71876371623242 7.60952501905505 -3.69255713644203 0.01010673096069 0.0655940707655654 -4.58699496386898
"GNL1" -4.66406928756743 5.17444402080009 -3.69159906234163 0.0101182569130014 0.0655940707655654 -4.58699659244767
"LOC100128770" 5.05713937635764 -0.649160020440563 3.69127016172344 0.0101222170580892 0.0655940707655654 -4.58699715170089
"S100A13" -6.32299268386571 3.87994196222744 -3.67546159313323 0.0103146028256295 0.0655940707655654 -4.58702413652957
"KCNJ2" 5.10261212104553 5.80551074128279 3.67037712677836 0.0103773382013914 0.0655940707655654 -4.58703285920546
"CEACAM8" 4.63314092308017 0.52583891547629 3.66699057789856 0.0104193582199033 0.0655940707655654 -4.58703868083873
"CDR1" 9.09828325653949 3.18053124744809 3.66570951120026 0.01043530272167 0.0655940707655654 -4.58704088552024
"MAP2K6" 5.84791531263689 3.07989018283838 3.65697012154437 0.010544799689581 0.0655940707655654 -4.58705596201355
"ANKRD22" 4.87754025909496 4.15899530925939 3.65499527516662 0.0105697187726126 0.0655940707655654 -4.5870593776326
"SNORA12" 5.16722667440096 1.14601618960833 3.65027086431238 0.0106295976792473 0.0655940707655654 -4.58706756194885
"SPRR1B" 5.82385547639818 -0.46376630858586 3.64807621791356 0.0106575411864199 0.0655940707655654 -4.58707137015733
"HLA-J" 5.74041195178692 5.51619648608735 3.63697265907824 0.0108001711524721 0.0655940707655654 -4.58709069898773
"ITPKB" -4.84655149498145 4.54539882881411 -3.63636800308084 0.0108079986934892 0.0655940707655654 -4.58709175452161
"CLDN2" 5.42562217344075 1.32031284361401 3.62561364733318 0.0109482733849753 0.0655940707655654 -4.58711057944678
"CDHR5" 5.42562217344074 1.01681844008843 3.6228823286825 0.0109842195853692 0.0655940707655654 -4.58711537597655
"CXCL10" 5.9749178211177 8.66522185538745 3.62104893222694 0.0110084217376751 0.0655940707655654 -4.58711859917605
"ASIP" 5.66833558702586 -0.712044712189552 3.61527756140779 0.0110849941991954 0.0655940707655654 -4.5871287640732
"FBN2" 4.87585433666529 0.476677163351315 3.61491245213534 0.0110898581275411 0.0655940707655654 -4.58712940807443
"DDX11L1" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"FAM138A" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"FAM138F" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"OR4F5" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"LOC100132287" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"LOC100132062" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"OR4F29" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"OR4F16" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"OR4F3" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"FAM41C" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"MIR200B" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"MIR200A" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"TMEM88B" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"MMP23A" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"ACTRT2" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"MIR551A" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"CCDC27" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"MIR4689" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"HES3" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"MIR4252" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"SLC2A7" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"MIR4632" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"SNORA59B" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"SNORA59A" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"AADACL4" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"AADACL3" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"PRAMEF12" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"PRAMEF11" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"PRAMEF2" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"PRAMEF4" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"PRAMEF10" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"PRAMEF8" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"PRAMEF7" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"PRAMEF6" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"PRAMEF22" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"PRAMEF5" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"PRAMEF9" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"PRAMEF15" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"PRAMEF14" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"PRAMEF13" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"PRAMEF19" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"PRAMEF18" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"PRAMEF20" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"TMEM82" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"FAM131C" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"MIR3675" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"PADI6" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"ACTL8" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"PAX7" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"MIR4695" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"PLA2G2E" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"PLA2G2F" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"CELA3B" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"CELA3A" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"EPHA8" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"MIR4684" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"MIR4253" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"MIR3115" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"MIR378F" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
"MIR3917" 6.21810342380132 -2.39060609160608 3.61427475576176 0.0110983590853514 0.0655940707655654 -4.58713053315174
